ParticipantId	SampleCode	contdag	gesl2	LFTB	pershuis	Lftpershuis1	Lftpershuis2	Lftpershuis3	Lftpershuis4	Lftpershuis5	Lftpershuis6	Lftpershuis7	Lftpershuis8	Lftpershuis9	Lftpershuis10	contpers0tot9	contpers10tot19	contpers20tot29	contpers30tot39	contpers40tot49	contpers50tot59	contpers60tot69	contpers70tot79	contpers80tot89	contpers90plus	contpers0tot4	contpers5tot9	pershuisv2
6271	13602037	2	2	24	3	0	25											5	10	25	10	20	10					3
6273	13602127	2	1	24	3	54	58									4	2	3	5		2						4	3
6276	13602130	2	1	24	2	21												10										2
6280	13602132	2	1	24	9	11	13	17	19	20	21	23	24	51	52		4			5								9
6285	13601991	4	2	25	3	0	25	25								13	5		1	1	2						13	3
6291	13602019	6	2	26	4	1	3	26	28							4		1			4		1			4		4
6295		1	2	26	4	26	70	70											3	2	1	1						4
6296		1	2	26	4	26	70	70									1	8	3	3	2	2	4					4
6298	13602024	5	2	26	3	2	26	27								2	1	2			1					2		3
6300	13602026	5	1	26	2	37													2	4	4	1						2
6301	13602029	7	2	26	3	2	32												1			2						3
6305	13602137	2	2	27	3	15	34									1					2					1		3
6306	13602038	7	1	27	2	26										2		6	4			4						2
6307	13602109	7	1	27	5	20	23	27	50	50								5										5
6308	13602107	1	1	28	3	1	23	28								1	2	5	4	2	1					1		3
6309	13602139	7	1	28	5	35	40	61	66							2	5	30	10	10	15	10	5	2		2		5
6310	13602003	1	2	28	4	1	3	37											1		1	1						4
6311	13602095	2	2	28	4	1	3	28	28							2		20	10	5	5	5	2			2		4
6313	13602120		1	28	3	59	63																					3
6315	13602034	2	1	28	5	3	4	6	28	28							4	20	20	15	10	5	2					5
6319		7	2	29	2	32													1	1	1							2
6320	13602104	2	2	29	3	3	29	35												1	1		1					3
6323	13602028	3	2	30	3	1	34											5	2	2	2	2						3
6324	13602138	2	1	30	2	26													2									2
6326	13602099	3	2	31	6	26	33	62	64	91						2		4	3		2	1			1	2		6
6333	13602101	2	2	32	5	4	8	10	32	33						6		2	6		1					1	5	5
6335	13602124	2	1	33	5	2	6	9	31										2	2								5
6337	13602021	6	2	33	2	32										1	1	4	1	2							1	2
